origin,tp_year,tp_10,year,month,day,date,decimalLat,decimalLon,GPS,taxa,UTM_ZONE_C,site_10,count
NHM Aarhus,1900-1909,1,1900,7,21,21/07/1900,56.010843,12.445427,"56.010843, 12.445427",Lasius_umbratus,UC41,248,1
NHM Aarhus,1900-1909,1,1901,6,23,23/06/1901,55.805758,12.483211,"55.805758, 12.483211",Formica_fusca,UB48,328,1
NHM Aarhus,1900-1909,1,1901,9,26,26/09/1901,55.643539,12.516986,"55.643539, 12.516986",Myrmica_scabrinodis,UB46,384,1
NHM Aarhus,1900-1909,1,1902,9,21,21/09/1902,55.650239,12.577788,"55.650239, 12.577788",Myrmica_rubra,UB46,384,1
NHM Denmark,1900-1909,1,1903,7,11,11/07/1903,55.032618,11.924762,"55.032618, 11.924762",Myrmica_scabrinodis,PG80,541,1
NHM Denmark,1900-1909,1,1903,7,11,11/07/1903,55.032618,11.924762,"55.032618, 11.924762",Tetramorium_caespitum,PG80,541,1
NHM Aarhus,1900-1909,1,1903,8,9,09/08/1903,55.690313,12.016678,"55.690313, 12.016678",Myrmica_scabrinodis,UB17,352,1
NHM Aarhus,1900-1909,1,1903,8,23,23/08/1903,55.885883,12.38485,"55.885883, 12.38485",Lasius_flavus,UB39,300,1
NHM Aarhus,1900-1909,1,1903,8,23,23/08/1903,55.885883,12.38485,"55.885883, 12.38485",Lasius_flavus,UB39,300,1
NHM Aarhus,1900-1909,1,1903,8,23,23/08/1903,55.885883,12.38485,"55.885883, 12.38485",Lasius_niger,UB39,300,1
NHM Denmark,1900-1909,1,1904,7,30,30/07/1904,56.234248,9.444185,"56.234248, 9.444185",Myrmica_ruginodis,NH23,198,1
NHM Denmark,1900-1909,1,1904,7,30,30/07/1904,56.234248,9.444185,"56.234248, 9.444185",Myrmica_ruginodis,NH23,198,1
NHM Denmark,1900-1909,1,1904,7,30,30/07/1904,56.234248,9.444185,"56.234248, 9.444185",Myrmica_ruginodis,NH23,198,1
NHM Denmark,1900-1909,1,1905,7,11,11/07/1905,55.032618,11.924762,"55.032618, 11.924762",Formica_fusca,PG80,541,1
NHM Denmark,1900-1909,1,1905,7,11,11/07/1905,55.032618,11.924762,"55.032618, 11.924762",Myrmica_scabrinodis,PG80,541,1
NHM Denmark,1900-1909,1,1906,8,27,27/08/1906,56.147142,9.516375,"56.147142, 9.516375",Formica_fusca,NH32,218,1
NHM Aarhus,1900-1909,1,1906,9,3,03/09/1906,55.643539,12.516986,"55.643539, 12.516986",Myrmica_scabrinodis,UB46,384,1
NHM Aarhus,1900-1909,1,1906,9,26,26/09/1906,55.643539,12.516986,"55.643539, 12.516986",Myrmica_scabrinodis,UB46,384,1
NHM Aarhus,1900-1909,1,1906,10,13,13/10/1906,55.643539,12.516986,"55.643539, 12.516986",Myrmica_scabrinodis,UB46,384,1
NHM Aarhus,1900-1909,1,1907,6,30,30/06/1907,55.951168,12.333918,"55.951168, 12.333918",Lasius_umbratus,UC30,274,1
NHM Aarhus,1900-1909,1,1907,7,29,29/07/1907,56.010843,12.445427,"56.010843, 12.445427",Lasius_flavus,UC41,248,1
NHM Aarhus,1900-1909,1,1907,9,8,08/09/1907,55.770929,12.542932,"55.770929, 12.542932",Myrmica_scabrinodis,UB48,328,1
NHM Aarhus,1900-1909,1,1907,9,8,08/09/1907,55.770929,12.542932,"55.770929, 12.542932",Myrmica_scabrinodis,UB48,328,1
NHM Aarhus,1900-1909,1,1907,9,28,28/09/1907,55.675814,12.477178,"55.675814, 12.477178",Lasius_niger,UB47,355,1
NHM Aarhus,1900-1909,1,1907,9,28,28/09/1907,55.675814,12.477178,"55.675814, 12.477178",Lasius_niger,UB47,355,1
NHM Aarhus,1900-1909,1,1907,9,29,29/09/1907,55.770929,12.542932,"55.770929, 12.542932",Lasius_brunneus,UB48,328,1
NHM Denmark,1900-1909,1,1908,4,12,12/04/1908,55.675814,12.477178,"55.675814, 12.477178",Lasius_flavus,UB47,355,1
NHM Denmark,1900-1909,1,1908,4,16,16/04/1908,55.669158,12.402135,"55.669158, 12.402135",Lasius_flavus,UB37,354,1
NHM Denmark,1900-1909,1,1908,4,16,16/04/1908,55.669158,12.402135,"55.669158, 12.402135",Lasius_fuliginosus,UB37,354,1
NHM Denmark,1900-1909,1,1908,4,16,16/04/1908,55.669158,12.402135,"55.669158, 12.402135",Lasius_fuliginosus,UB37,354,1
NHM Denmark,1900-1909,1,1908,4,16,16/04/1908,55.669158,12.402135,"55.669158, 12.402135",Myrmica_rubra,UB37,354,1
NHM Denmark,1900-1909,1,1908,5,10,10/05/1908,55.786534,12.569818,"55.786534, 12.569818",Myrmica_ruginodis,UB48,328,1
NHM Denmark,1900-1909,1,1908,5,11,11/05/1908,55.786534,12.569818,"55.786534, 12.569818",Lasius_flavus,UB48,328,1
NHM Denmark,1900-1909,1,1908,5,15,15/05/1908,55.76975,12.56234,"55.76975, 12.56234",Formica_fusca,UB48,328,1
NHM Denmark,1900-1909,1,1908,5,15,15/05/1908,55.763121,12.579463,"55.763121, 12.579463",Myrmica_rubra,UB48,328,1
NHM Denmark,1900-1909,1,1908,5,17,17/05/1908,56.033807,12.054928,"56.033807, 12.054928",Formica_pratensis,UC11,245,1
NHM Denmark,1900-1909,1,1908,6,13,13/06/1908,55.675814,12.477178,"55.675814, 12.477178",Lasius_flavus,UB47,355,1
NHM Denmark,1900-1909,1,1908,6,14,14/06/1908,55.769218,12.398196,"55.769218, 12.398196",Formica_rufa,UB38,327,1
NHM Denmark,1900-1909,1,1908,6,19,19/06/1908,55.769218,12.398196,"55.769218, 12.398196",Formica_rufa,UB38,327,1
NHM Denmark,1900-1909,1,1908,7,19,19/07/1908,56.060354,12.090172,"56.060354, 12.090172",Formica_exsecta,UC11,245,1
NHM Denmark,1900-1909,1,1908,7,29,29/07/1908,55.657753,12.530098,"55.657753, 12.530098",Lasius_niger,UB47,355,1
NHM Aarhus,1900-1909,1,1908,8,1,01/08/1908,56.010843,12.445427,"56.010843, 12.445427",Lasius_niger,UC41,248,1
NHM Aarhus,1900-1909,1,1908,8,24,24/08/1908,55.650239,12.577788,"55.650239, 12.577788",Lasius_flavus,UB46,384,1
NHM Aarhus,1900-1909,1,1908,10,2,02/10/1908,55.675814,12.477178,"55.675814, 12.477178",Myrmica_scabrinodis,UB47,355,1
NHM Aarhus,1900-1909,1,1908,10,5,05/10/1908,55.683264,12.618601,"55.683264, 12.618601",Lasius_flavus,UB57,356,1
NHM Aarhus,1900-1909,1,1908,10,5,05/10/1908,55.683264,12.618601,"55.683264, 12.618601",Lasius_umbratus,UB57,356,1
NHM Aarhus,1900-1909,1,1908,10,5,05/10/1908,55.683264,12.618601,"55.683264, 12.618601",Lasius_umbratus,UB57,356,1
NHM Aarhus,1900-1909,1,1908,10,5,05/10/1908,55.683264,12.618601,"55.683264, 12.618601",Lasius_umbratus,UB57,356,1
NHM Aarhus,1900-1909,1,1908,10,5,05/10/1908,55.683264,12.618601,"55.683264, 12.618601",Lasius_umbratus,UB57,356,1
NHM Denmark,1900-1909,1,1909,4,5,05/04/1909,54.984062,12.543113,"54.984062, 12.543113",Formica_rufibarbis,UA49,573,1
NHM Denmark,1900-1909,1,1909,4,8,08/04/1909,54.984062,12.543113,"54.984062, 12.543113",Formica_cinerea,UA49,573,1
NHM Denmark,1900-1909,1,1909,4,8,08/04/1909,54.984062,12.543113,"54.984062, 12.543113",Myrmica_ruginodis,UA49,573,1
NHM Aarhus,1900-1909,1,1909,8,4,04/08/1909,56.010843,12.445427,"56.010843, 12.445427",Lasius_umbratus,UC41,248,1
NHM Aarhus,1900-1909,1,1909,8,4,04/08/1909,56.010843,12.445427,"56.010843, 12.445427",Lasius_umbratus,UC41,248,1
NHM Aarhus,1900-1909,1,1909,8,4,04/08/1909,56.010843,12.445427,"56.010843, 12.445427",Lasius_umbratus,UC41,248,1
NHM Aarhus,1900-1909,1,1909,8,4,04/08/1909,56.010843,12.445427,"56.010843, 12.445427",Lasius_umbratus,UC41,248,1
NHM Denmark,1900-1909,1,1909,8,21,21/08/1909,55.798406,12.416576,"55.798406, 12.416576",Myrmica_rubra,UB38,327,1
NHM Denmark,1900-1909,1,1909,8,31,31/08/1909,56.060354,12.090172,"56.060354, 12.090172",Lasius_niger,UC11,245,1
NHM Denmark,1900-1909,1,1909,8,31,31/08/1909,56.060354,12.090172,"56.060354, 12.090172",Lasius_niger,UC11,245,1
NHM Denmark,1900-1909,1,1909,8,31,31/08/1909,56.060354,12.090172,"56.060354, 12.090172",Lasius_niger,UC11,245,1
NHM Denmark,1900-1909,1,1909,8,31,31/08/1909,56.060354,12.090172,"56.060354, 12.090172",Lasius_niger,UC11,245,1
NHM Denmark,1910-1919,2,1910,3,25,25/03/1910,55.805758,12.483211,"55.805758, 12.483211",Formica_pratensis,UB48,328,1
NHM Denmark,1910-1919,2,1910,5,14,14/05/1910,55.998779,12.311957,"55.998779, 12.311957",Formica_rufa,UC30,274,1
NHM Denmark,1910-1919,2,1911,6,24,24/06/1911,56.060354,12.090172,"56.060354, 12.090172",Myrmica_sabuleti,UC11,245,1
NHM Aarhus,1910-1919,2,1911,7,13,13/07/1911,55.951168,12.333918,"55.951168, 12.333918",Lasius_fuliginosus,UC30,274,1
NHM Aarhus,1910-1919,2,1911,7,13,13/07/1911,55.951168,12.333918,"55.951168, 12.333918",Lasius_fuliginosus,UC30,274,1
NHM Aarhus,1910-1919,2,1911,7,23,23/07/1911,56.010843,12.445427,"56.010843, 12.445427",Lasius_niger,UC41,248,1
NHM Aarhus,1910-1919,2,1911,9,21,21/09/1911,55.805758,12.483211,"55.805758, 12.483211",Myrmica_ruginodis,UB48,328,1
NHM Denmark,1910-1919,2,1912,5,22,22/05/1912,55.998779,12.311957,"55.998779, 12.311957",Formica_rufa,UC30,274,1
NHM Denmark,1910-1919,2,1912,6,9,09/06/1912,55.998779,12.311957,"55.998779, 12.311957",Formicoxenus_nitidulus,UC30,274,1
NHM Aarhus,1910-1919,2,1912,9,21,21/09/1912,55.717418,12.506722,"55.717418, 12.506722",Myrmica_rubra,UB47,355,1
NHM Aarhus,1910-1919,2,1912,9,28,28/09/1912,55.643539,12.516986,"55.643539, 12.516986",Lasius_fuliginosus,UB46,384,1
NHM Aarhus,1910-1919,2,1912,9,28,28/09/1912,55.643539,12.516986,"55.643539, 12.516986",Lasius_fuliginosus,UB46,384,1
NHM Aarhus,1910-1919,2,1912,9,28,28/09/1912,55.643539,12.516986,"55.643539, 12.516986",Lasius_fuliginosus,UB46,384,1
NHM Aarhus,1910-1919,2,1912,9,28,28/09/1912,55.643539,12.516986,"55.643539, 12.516986",Lasius_fuliginosus,UB46,384,1
NHM Aarhus,1910-1919,2,1912,9,28,28/09/1912,55.643539,12.516986,"55.643539, 12.516986",Lasius_fuliginosus,UB46,384,1
NHM Aarhus,1910-1919,2,1912,9,28,28/09/1912,55.643539,12.516986,"55.643539, 12.516986",Myrmica_ruginodis,UB46,384,1
NHM Denmark,1910-1919,2,1913,5,3,03/05/1913,56.060354,12.090172,"56.060354, 12.090172",Tetramorium_caespitum,UC11,245,1
NHM Denmark,1910-1919,2,1913,5,21,21/05/1913,56.060354,12.090172,"56.060354, 12.090172",Tetramorium_caespitum,UC11,245,1
NHM Denmark,1910-1919,2,1913,5,25,25/05/1913,56.149342,9.475775,"56.149342, 9.475775",Formica_fusca,NH22,217,1
NHM Denmark,1910-1919,2,1913,5,25,25/05/1913,56.149342,9.475775,"56.149342, 9.475775",Formica_rufa,NH22,217,1
NHM Denmark,1910-1919,2,1913,5,30,30/05/1913,56.060354,12.090172,"56.060354, 12.090172",Formica_rufibarbis,UC11,245,1
NHM Denmark,1910-1919,2,1913,6,1,01/06/1913,56.033807,12.054928,"56.033807, 12.054928",Camponotus_herculeanus,UC11,245,1
NHM Denmark,1910-1919,2,1913,6,5,05/06/1913,56.07407,9.697859,"56.07407, 9.697859",Formica_pratensis,NH41,239,1
NHM Aarhus,1910-1919,2,1913,8,2,02/08/1913,56.010843,12.445427,"56.010843, 12.445427",Myrmica_rugulosa,UC41,248,1
NHM Aarhus,1910-1919,2,1913,8,24,24/08/1913,55.650239,12.577788,"55.650239, 12.577788",Myrmica_rubra,UB46,384,1
NHM Aarhus,1910-1919,2,1913,8,24,24/08/1913,55.650239,12.577788,"55.650239, 12.577788",Myrmica_scabrinodis,UB46,384,1
NHM Aarhus,1910-1919,2,1913,8,24,24/08/1913,55.650239,12.577788,"55.650239, 12.577788",Myrmica_scabrinodis,UB46,384,1
NHM Aarhus,1910-1919,2,1913,8,24,24/08/1913,55.650239,12.577788,"55.650239, 12.577788",Myrmica_scabrinodis,UB46,384,1
NHM Denmark,1910-1919,2,1913,9,1,01/09/1913,55.927915,12.300838,"55.927915, 12.300838",Tetramorium_caespitum,UC30,274,1
NHM Denmark,1910-1919,2,1913,12,1,01/12/1913,55.84905,12.482107,"55.84905, 12.482107",Lasius_mixtus,UB49,301,1
NHM Denmark,1910-1919,2,1914,5,3,03/05/1914,56.176398,9.554921,"56.176398, 9.554921",Formica_polyctena,NH32,218,1
NHM Denmark,1910-1919,2,1914,6,3,03/06/1914,56.176398,9.554921,"56.176398, 9.554921",Formica_pratensis,NH32,218,1
NHM Denmark,1910-1919,2,1914,6,15,15/06/1914,56.149342,9.475775,"56.149342, 9.475775",Formica_rufa,NH22,217,1
NHM Aarhus,1910-1919,2,1914,9,16,16/09/1914,55.805758,12.483211,"55.805758, 12.483211",Myrmica_rubra,UB48,328,1
NHM Aarhus,1910-1919,2,1914,9,16,16/09/1914,55.805758,12.483211,"55.805758, 12.483211",Myrmica_rubra,UB48,328,1
NHM Aarhus,1910-1919,2,1914,9,16,16/09/1914,55.805758,12.483211,"55.805758, 12.483211",Myrmica_rubra,UB48,328,1
NHM Aarhus,1910-1919,2,1914,9,16,16/09/1914,55.805758,12.483211,"55.805758, 12.483211",Myrmica_rubra,UB48,328,1
NHM Aarhus,1910-1919,2,1914,9,16,16/09/1914,55.805758,12.483211,"55.805758, 12.483211",Myrmica_rubra,UB48,328,1
NHM Aarhus,1910-1919,2,1914,9,16,16/09/1914,55.805758,12.483211,"55.805758, 12.483211",Myrmica_rugulosa,UB48,328,1
NHM Aarhus,1910-1919,2,1915,7,10,10/07/1915,56.043693,12.41256,"56.043693, 12.41256",Myrmica_ruginodis,UC31,247,1
NHM Aarhus,1910-1919,2,1915,8,3,03/08/1915,55.663865,11.399436,"55.663865, 11.399436",Formica_fusca,PG57,348,1
NHM Aarhus,1910-1919,2,1915,8,3,03/08/1915,56.010843,12.445427,"56.010843, 12.445427",Myrmica_rugulosa,UC41,248,1
NHM Aarhus,1910-1919,2,1915,8,7,07/08/1915,56.010843,12.445427,"56.010843, 12.445427",Lasius_niger,UC41,248,1
NHM Aarhus,1910-1919,2,1915,8,7,07/08/1915,56.010843,12.445427,"56.010843, 12.445427",Lasius_niger,UC41,248,1
NHM Aarhus,1910-1919,2,1915,8,7,07/08/1915,56.010843,12.445427,"56.010843, 12.445427",Lasius_niger,UC41,248,1
NHM Aarhus,1910-1919,2,1915,8,14,14/08/1915,56.010843,12.445427,"56.010843, 12.445427",Myrmica_rubra,UC41,248,1
NHM Aarhus,1910-1919,2,1915,8,14,14/08/1915,56.010843,12.445427,"56.010843, 12.445427",Myrmica_scabrinodis,UC41,248,1
NHM Aarhus,1910-1919,2,1915,8,29,29/08/1915,55.84905,12.482107,"55.84905, 12.482107",Myrmica_rugulosa,UB49,301,1
NHM Aarhus,1910-1919,2,1916,7,15,15/07/1916,55.868457,12.342991,"55.868457, 12.342991",Lasius_niger,UB39,300,1
NHM Aarhus,1910-1919,2,1916,7,25,25/07/1916,56.043693,12.41256,"56.043693, 12.41256",Lasius_niger,UC31,247,1
NHM Denmark,1910-1919,2,1916,8,14,14/08/1916,55.998779,12.311957,"55.998779, 12.311957",Formica_fusca,UC30,274,1
NHM Aarhus,1910-1919,2,1916,9,10,10/09/1916,55.663895,12.54254,"55.663895, 12.54254",Myrmica_rubra,UB47,355,1
NHM Aarhus,1910-1919,2,1917,7,24,24/07/1917,55.663865,11.399436,"55.663865, 11.399436",Myrmica_rubra,PG57,348,1
NHM Aarhus,1910-1919,2,1917,7,24,24/07/1917,55.663865,11.399436,"55.663865, 11.399436",Myrmica_rubra,PG57,348,1
NHM Aarhus,1910-1919,2,1917,7,24,24/07/1917,55.663865,11.399436,"55.663865, 11.399436",Myrmica_rubra,PG57,348,1
NHM Aarhus,1910-1919,2,1917,7,24,24/07/1917,55.663865,11.399436,"55.663865, 11.399436",Myrmica_rugulosa,PG57,348,1
NHM Aarhus,1910-1919,2,1917,7,26,26/07/1917,55.663865,11.399436,"55.663865, 11.399436",Myrmica_ruginodis,PG57,348,1
NHM Aarhus,1910-1919,2,1917,7,26,26/07/1917,55.663865,11.399436,"55.663865, 11.399436",Myrmica_scabrinodis,PG57,348,1
NHM Aarhus,1910-1919,2,1917,8,3,03/08/1917,56.043693,12.41256,"56.043693, 12.41256",Myrmica_ruginodis,UC31,247,1
NHM Aarhus,1910-1919,2,1917,8,3,03/08/1917,56.043693,12.41256,"56.043693, 12.41256",Myrmica_ruginodis,UC31,247,1
NHM Aarhus,1910-1919,2,1917,8,3,03/08/1917,56.043693,12.41256,"56.043693, 12.41256",Myrmica_ruginodis,UC31,247,1
NHM Aarhus,1910-1919,2,1917,8,3,03/08/1917,56.043693,12.41256,"56.043693, 12.41256",Myrmica_ruginodis,UC31,247,1
NHM Aarhus,1910-1919,2,1917,8,3,03/08/1917,56.043693,12.41256,"56.043693, 12.41256",Myrmica_rugulosa,UC31,247,1
NHM Aarhus,1910-1919,2,1917,8,3,03/08/1917,56.043693,12.41256,"56.043693, 12.41256",Myrmica_rugulosa,UC31,247,1
NHM Aarhus,1910-1919,2,1917,8,3,03/08/1917,56.043693,12.41256,"56.043693, 12.41256",Myrmica_rugulosa,UC31,247,1
NHM Aarhus,1910-1919,2,1917,8,3,03/08/1917,56.043693,12.41256,"56.043693, 12.41256",Myrmica_rugulosa,UC31,247,1
NHM Aarhus,1910-1919,2,1917,9,26,26/09/1917,55.643539,12.516986,"55.643539, 12.516986",Lasius_umbratus,UB46,384,1
NHM Aarhus,1910-1919,2,1917,9,26,26/09/1917,55.643539,12.516986,"55.643539, 12.516986",Myrmica_scabrinodis,UB46,384,1
NHM Aarhus,1910-1919,2,1917,9,26,26/09/1917,55.643539,12.516986,"55.643539, 12.516986",Myrmica_scabrinodis,UB46,384,1
NHM Aarhus,1910-1919,2,1917,9,26,26/09/1917,55.643539,12.516986,"55.643539, 12.516986",Myrmica_scabrinodis,UB46,384,1
NHM Aarhus,1910-1919,2,1917,9,26,26/09/1917,55.643539,12.516986,"55.643539, 12.516986",Myrmica_scabrinodis,UB46,384,1
NHM Denmark,1910-1919,2,1918,5,22,22/05/1918,56.060354,12.090172,"56.060354, 12.090172",Lasius_fuliginosus,UC11,245,1
NHM Denmark,1910-1919,2,1918,5,22,22/05/1918,56.060354,12.090172,"56.060354, 12.090172",Lasius_fuliginosus,UC11,245,1
NHM Denmark,1910-1919,2,1918,5,22,22/05/1918,56.060354,12.090172,"56.060354, 12.090172",Lasius_fuliginosus,UC11,245,1
NHM Denmark,1910-1919,2,1918,5,22,22/05/1918,56.060354,12.090172,"56.060354, 12.090172",Lasius_fuliginosus,UC11,245,1
NHM Denmark,1910-1919,2,1918,5,22,22/05/1918,56.060354,12.090172,"56.060354, 12.090172",Lasius_fuliginosus,UC11,245,1
NHM Denmark,1910-1919,2,1918,5,22,22/05/1918,56.060354,12.090172,"56.060354, 12.090172",Lasius_fuliginosus,UC11,245,1
NHM Denmark,1910-1919,2,1918,5,22,22/05/1918,56.060354,12.090172,"56.060354, 12.090172",Lasius_fuliginosus,UC11,245,1
NHM Denmark,1910-1919,2,1918,6,16,16/06/1918,56.060354,12.090172,"56.060354, 12.090172",Formica_pratensis,UC11,245,1
NHM Denmark,1910-1919,2,1918,6,19,19/06/1918,56.060354,12.090172,"56.060354, 12.090172",Formica_polyctena,UC11,245,1
NHM Denmark,1910-1919,2,1918,6,23,23/06/1918,56.060354,12.090172,"56.060354, 12.090172",Formica_truncorum,UC11,245,1
NHM Denmark,1910-1919,2,1919,7,22,22/07/1919,56.411795,10.894899,"56.411795, 10.894899",Formica_fusca,PH15,170,1
NHM Denmark,1910-1919,2,1919,8,8,08/08/1919,56.060354,12.090172,"56.060354, 12.090172",Formica_fusca,UC11,245,1
NHM Denmark,1910-1919,2,1919,8,16,16/08/1919,56.060354,12.090172,"56.060354, 12.090172",Lasius_umbratus,UC11,245,1
NHM Denmark,1910-1919,2,1919,8,16,16/08/1919,56.060354,12.090172,"56.060354, 12.090172",Myrmica_ruginodis,UC11,245,1
NHM Denmark,1910-1919,2,1919,8,19,19/08/1919,56.060354,12.090172,"56.060354, 12.090172",Myrmica_ruginodis,UC11,245,1
NHM Denmark,1920-1929,3,1920,6,19,19/06/1920,56.033807,12.054928,"56.033807, 12.054928",Formica_rufa,UC11,245,1
NHM Denmark,1920-1929,3,1920,8,9,09/08/1920,56.411795,10.894899,"56.411795, 10.894899",Tetramorium_caespitum,PH15,170,1
NHM Denmark,1920-1929,3,1921,8,24,24/08/1921,56.127874,10.202704,"56.127874, 10.202704",Tetramorium_caespitum,NH72,222,1
NHM Denmark,1920-1929,3,1921,8,24,24/08/1921,56.127874,10.202704,"56.127874, 10.202704",Tetramorium_caespitum,NH72,222,1
NHM Denmark,1920-1929,3,1921,8,24,24/08/1921,56.127874,10.202704,"56.127874, 10.202704",Tetramorium_caespitum,NH72,222,1
NHM Denmark,1920-1929,3,1922,5,22,22/05/1922,56.153129,10.106808,"56.153129, 10.106808",Tetramorium_caespitum,NH62,221,1
NHM Denmark,1920-1929,3,1922,5,22,22/05/1922,56.153129,10.106808,"56.153129, 10.106808",Tetramorium_caespitum,NH62,221,1
NHM Denmark,1920-1929,3,1923,9,15,15/09/1923,55.325779,11.149397,"55.325779, 11.149397",Myrmica_scabrinodis,PG33,457,1
NHM Denmark,1920-1929,3,1923,10,2,02/10/1923,55.285579,11.347932,"55.285579, 11.347932",Myrmica_rubra,PG42,483,1
NHM Denmark,1920-1929,3,1923,10,2,02/10/1923,55.285579,11.347932,"55.285579, 11.347932",Myrmica_rubra,PG42,483,1
NHM Denmark,1920-1929,3,1923,10,2,02/10/1923,55.285579,11.347932,"55.285579, 11.347932",Myrmica_rubra,PG42,483,1
NHM Denmark,1920-1929,3,1923,10,2,02/10/1923,55.285579,11.347932,"55.285579, 11.347932",Myrmica_rubra,PG42,483,1
NHM Denmark,1920-1929,3,1923,10,2,02/10/1923,55.285579,11.347932,"55.285579, 11.347932",Myrmica_rubra,PG42,483,1
NHM Denmark,1920-1929,3,1923,10,5,05/10/1923,55.325779,11.149397,"55.325779, 11.149397",Myrmica_ruginodis,PG33,457,1
NHM Denmark,1920-1929,3,1923,10,5,05/10/1923,55.325779,11.149397,"55.325779, 11.149397",Myrmica_ruginodis,PG33,457,1
NHM Denmark,1920-1929,3,1923,10,5,05/10/1923,55.325779,11.149397,"55.325779, 11.149397",Myrmica_ruginodis,PG33,457,1
NHM Denmark,1920-1929,3,1923,11,11,11/11/1923,55.214656,11.463521,"55.214656, 11.463521",Lasius_niger,PG52,484,1
NHM Denmark,1920-1929,3,1923,11,11,11/11/1923,55.214656,11.463521,"55.214656, 11.463521",Lasius_niger,PG52,484,1
NHM Denmark,1920-1929,3,1923,11,11,11/11/1923,55.214656,11.463521,"55.214656, 11.463521",Lasius_niger,PG52,484,1
NHM Denmark,1920-1929,3,1923,11,11,11/11/1923,55.214656,11.463521,"55.214656, 11.463521",Lasius_niger,PG52,484,1
NHM Denmark,1920-1929,3,1923,11,11,11/11/1923,55.214656,11.463521,"55.214656, 11.463521",Lasius_niger,PG52,484,1
NHM Denmark,1920-1929,3,1923,11,11,11/11/1923,55.214656,11.463521,"55.214656, 11.463521",Lasius_niger,PG52,484,1
NHM Denmark,1920-1929,3,1924,5,18,18/05/1924,55.868457,12.342991,"55.868457, 12.342991",Formica_fusca,UB39,300,1
NHM Denmark,1920-1929,3,1924,5,18,18/05/1924,55.868457,12.342991,"55.868457, 12.342991",Myrmica_scabrinodis,UB39,300,1
NHM Denmark,1920-1929,3,1924,6,5,05/06/1924,55.462821,11.247639,"55.462821, 11.247639",Formica_fusca,PG44,432,1
NHM Denmark,1920-1929,3,1924,6,5,05/06/1924,56.04911,9.665256,"56.04911, 9.665256",Lasius_fuliginosus,NH41,239,1
NHM Denmark,1920-1929,3,1924,6,5,05/06/1924,56.04911,9.665256,"56.04911, 9.665256",Lasius_fuliginosus,NH41,239,1
NHM Denmark,1920-1929,3,1924,6,5,05/06/1924,56.04911,9.665256,"56.04911, 9.665256",Lasius_fuliginosus,NH41,239,1
NHM Denmark,1920-1929,3,1924,6,5,05/06/1924,56.04911,9.665256,"56.04911, 9.665256",Lasius_fuliginosus,NH41,239,1
NHM Denmark,1920-1929,3,1924,6,5,05/06/1924,56.04911,9.665256,"56.04911, 9.665256",Myrmica_ruginodis,NH41,239,1
NHM Denmark,1920-1929,3,1924,6,5,05/06/1924,56.04911,9.665256,"56.04911, 9.665256",Myrmica_ruginodis,NH41,239,1
NHM Denmark,1920-1929,3,1924,6,5,05/06/1924,56.04911,9.665256,"56.04911, 9.665256",Myrmica_ruginodis,NH41,239,1
NHM Denmark,1920-1929,3,1924,6,8,08/06/1924,55.663363,12.034647,"55.663363, 12.034647",Lasius_fuliginosus,UB17,352,1
NHM Denmark,1920-1929,3,1924,6,21,21/06/1924,56.04911,9.665256,"56.04911, 9.665256",Lasius_fuliginosus,NH41,239,1
NHM Denmark,1920-1929,3,1924,6,21,21/06/1924,56.04911,9.665256,"56.04911, 9.665256",Lasius_fuliginosus,NH41,239,1
NHM Denmark,1920-1929,3,1924,6,21,21/06/1924,56.04911,9.665256,"56.04911, 9.665256",Lasius_fuliginosus,NH41,239,1
NHM Denmark,1920-1929,3,1924,6,21,21/06/1924,56.04911,9.665256,"56.04911, 9.665256",Lasius_fuliginosus,NH41,239,1
NHM Denmark,1920-1929,3,1924,6,21,21/06/1924,56.04911,9.665256,"56.04911, 9.665256",Lasius_fuliginosus,NH41,239,1
NHM Denmark,1920-1929,3,1924,6,21,21/06/1924,56.04911,9.665256,"56.04911, 9.665256",Lasius_fuliginosus,NH41,239,1
NHM Denmark,1920-1929,3,1924,6,21,21/06/1924,56.04911,9.665256,"56.04911, 9.665256",Lasius_fuliginosus,NH41,239,1
NHM Denmark,1920-1929,3,1924,6,21,21/06/1924,56.04911,9.665256,"56.04911, 9.665256",Lasius_fuliginosus,NH41,239,1
NHM Denmark,1920-1929,3,1924,6,21,21/06/1924,56.04911,9.665256,"56.04911, 9.665256",Lasius_fuliginosus,NH41,239,1
NHM Denmark,1920-1929,3,1924,7,12,12/07/1924,55.164821,15.034569,"55.164821, 15.034569",Myrmica_ruginodis,WB01,520,1
NHM Denmark,1920-1929,3,1924,7,13,13/07/1924,55.158734,15.06738,"55.158734, 15.06738",Formica_fusca,WB01,520,1
NHM Denmark,1920-1929,3,1924,7,13,13/07/1924,55.167108,15.045038,"55.167108, 15.045038",Myrmica_scabrinodis,WB01,520,1
NHM Denmark,1920-1929,3,1924,8,16,16/08/1924,55.325779,11.149397,"55.325779, 11.149397",Lasius_mixtus,PG33,457,1
NHM Denmark,1920-1929,3,1924,8,16,16/08/1924,55.325779,11.149397,"55.325779, 11.149397",Lasius_mixtus,PG33,457,1
NHM Denmark,1920-1929,3,1924,9,4,04/09/1924,55.252323,11.296081,"55.252323, 11.296081",Leptothorax_acervorum,PG42,483,1
NHM Denmark,1920-1929,3,1924,9,18,18/09/1924,55.214656,11.463521,"55.214656, 11.463521",Myrmica_ruginodis,PG52,484,1
