origin,detections,visit,Year,tp_year
NHM Denmark,5,"891952-07-1656.876451, 10.20603",1952,1950-1959
NHM Denmark,1,"991952-07-2856.780984, 9.755851",1952,1950-1959
NHM Denmark,3,"1021953-07-1056.802986, 10.271715",1953,1950-1959
NHM Denmark,1,"1021953-07-1756.802986, 10.271715",1953,1950-1959
NHM Denmark,4,"2451953-08-2356.033807, 12.054928",1953,1950-1959
NHM Denmark,2,"2451953-08-2356.047078, 12.078207",1953,1950-1959
NHM Denmark,1,"2451953-08-2356.060354, 12.090172",1953,1950-1959
NHM Denmark,3,"2701953-09-2755.950415, 11.750643",1953,1950-1959
NHM Denmark,1,"3351953-08-0855.741379, 9.017527",1953,1950-1959
NHM Denmark,1,"391953-08-1257.125218, 8.616424",1953,1950-1959
NHM Denmark,1,"4151953-02-1655.41303, 8.414419",1953,1950-1959
NHM Denmark,1,"4691953-04-2755.275031, 8.936932",1953,1950-1959
NHM Denmark,2,"481953-07-2657.132243, 10.022347",1953,1950-1959
NHM Denmark,1,"521953-08-0457.071947, 8.57373",1953,1950-1959
NHM Denmark,1,"521953-08-0557.071947, 8.57373",1953,1950-1959
NHM Denmark,1,"521953-08-0657.071947, 8.57373",1953,1950-1959
NHM Denmark,5,"521953-08-0857.071947, 8.57373",1953,1950-1959
NHM Denmark,1,"521953-08-0957.071947, 8.57373",1953,1950-1959
NHM Denmark,2,"521953-08-1057.071947, 8.57373",1953,1950-1959
NHM Denmark,1,"521953-08-1157.071947, 8.57373",1953,1950-1959
NHM Denmark,1,"521953-08-1357.071947, 8.57373",1953,1950-1959
NHM Denmark,2,"521953-08-1457.071947, 8.57373",1953,1950-1959
NHM Denmark,1,"521953-08-1557.071947, 8.57373",1953,1950-1959
NHM Denmark,1,"5401953-05-1055.059063, 11.736729",1953,1950-1959
NHM Denmark,2,"601953-07-2557.091255, 9.926595",1953,1950-1959
NHM Denmark,1,"6081953-06-1254.8403, 10.458804",1953,1950-1959
NHM Denmark,5,"891953-07-1356.876451, 10.20603",1953,1950-1959
NHM Denmark,4,"891953-07-1656.876451, 10.20603",1953,1950-1959
NHM Denmark,2,"891953-07-1856.876451, 10.20603",1953,1950-1959
NHM Denmark,1,"991953-07-2856.780984, 9.755851",1953,1950-1959
NHM Aarhus,1,"101954-09-0857.540329, 10.091131",1954,1950-1959
NHM Aarhus,1,"1541954-10-1256.480939, 8.195411",1954,1950-1959
NHM Aarhus,3,"1771954-09-0856.342192, 8.993918",1954,1950-1959
NHM Aarhus,3,"251954-09-0957.300585, 10.359109",1954,1950-1959
NHM Aarhus,1,"251954-09-0957.323688, 10.382782",1954,1950-1959
NHM Aarhus,1,"501954-09-1857.148881, 10.404291",1954,1950-1959
NHM Aarhus,1,"561954-09-2357.065849, 9.254989",1954,1950-1959
NHM Aarhus,1,"791954-10-0256.907087, 8.606848",1954,1950-1959
NHM Denmark,1,"1161954-07-1756.719938, 10.098787",1954,1950-1959
NHM Denmark,2,"1161954-07-1756.721494, 10.112889",1954,1950-1959
NHM Denmark,1,"1161954-07-2956.721494, 10.112889",1954,1950-1959
NHM Denmark,2,"1161954-07-3056.721494, 10.112889",1954,1950-1959
NHM Denmark,3,"1161954-08-0756.721494, 10.112889",1954,1950-1959
NHM Denmark,2,"1161954-08-0956.721494, 10.112889",1954,1950-1959
NHM Denmark,1,"1601954-07-1956.445098, 9.188978",1954,1950-1959
NHM Denmark,1,"2051954-08-2656.277499, 10.473746",1954,1950-1959
NHM Denmark,1,"2181954-07-0156.134043, 9.631059",1954,1950-1959
NHM Denmark,4,"2241954-08-2456.198379, 10.557544",1954,1950-1959
NHM Denmark,4,"2241954-08-2556.198379, 10.557544",1954,1950-1959
NHM Denmark,2,"2241954-08-2756.198379, 10.557544",1954,1950-1959
NHM Denmark,2,"2241954-08-2856.196089, 10.511297",1954,1950-1959
NHM Denmark,1,"2241954-08-2856.198379, 10.557544",1954,1950-1959
NHM Denmark,2,"2241954-08-3056.198379, 10.557544",1954,1950-1959
NHM Denmark,1,"2371954-07-2056.040996, 9.451116",1954,1950-1959
NHM Denmark,1,"2871954-07-2755.895439, 9.846195",1954,1950-1959
NHM Denmark,1,"2921954-07-0255.868359, 11.191885",1954,1950-1959
NHM Denmark,2,"2921954-07-0255.884872, 11.148533",1954,1950-1959
NHM Denmark,2,"2971954-06-0555.907007, 11.97694",1954,1950-1959
NHM Denmark,3,"3071954-07-2055.838646, 8.892739",1954,1950-1959
NHM Denmark,3,"3201954-06-2955.812838, 11.390453",1954,1950-1959
NHM Denmark,3,"3201954-07-0155.781285, 11.288587",1954,1950-1959
NHM Denmark,1,"3201954-07-0355.751613, 11.328339",1954,1950-1959
NHM Denmark,3,"3201954-07-0655.781285, 11.288587",1954,1950-1959
NHM Denmark,1,"3201954-07-0755.751613, 11.328339",1954,1950-1959
NHM Denmark,2,"3201954-07-0855.751613, 11.328339",1954,1950-1959
NHM Denmark,1,"3201954-07-0955.751613, 11.328339",1954,1950-1959
NHM Denmark,4,"3211954-07-0755.781343, 11.398752",1954,1950-1959
NHM Denmark,1,"3211954-07-0755.793101, 11.396014",1954,1950-1959
NHM Denmark,3,"3241954-06-1355.747202, 11.998113",1954,1950-1959
NHM Denmark,1,"3351954-08-0855.741379, 9.017527",1954,1950-1959
NHM Denmark,2,"3471954-07-0555.73809, 11.284658",1954,1950-1959
NHM Denmark,5,"481954-07-2357.132243, 10.022347",1954,1950-1959
NHM Denmark,4,"4931954-08-0455.138767, 8.51383",1954,1950-1959
NHM Denmark,2,"521954-06-1457.071947, 8.57373",1954,1950-1959
NHM Denmark,1,"521954-06-1857.071947, 8.57373",1954,1950-1959
NHM Denmark,1,"521954-06-2057.071947, 8.57373",1954,1950-1959
NHM Denmark,2,"521954-06-2257.071947, 8.57373",1954,1950-1959
NHM Denmark,2,"5221954-08-0555.08774, 8.670668",1954,1950-1959
NHM Denmark,3,"5241954-08-0555.135639, 8.894049",1954,1950-1959
NHM Denmark,2,"5501954-08-0355.013981, 8.941108",1954,1950-1959
NHM Denmark,1,"5501954-08-0355.015188, 8.971605",1954,1950-1959
NHM Denmark,1,"5791954-08-0254.902708, 8.999817",1954,1950-1959
NHM Denmark,1,"5791954-08-0254.939594, 8.864415",1954,1950-1959
NHM Denmark,1,"601954-07-2457.048808, 9.921779",1954,1950-1959
NHM Denmark,2,"601954-07-2557.091255, 9.926595",1954,1950-1959
NHM Denmark,1,"851954-07-2756.885379, 9.570625",1954,1950-1959
NHM Denmark,1,"1021955-07-1856.802986, 10.271715",1955,1950-1959
NHM Denmark,1,"2741955-08-2855.956869, 12.380639",1955,1950-1959
NHM Denmark,1,"3001955-06-1055.893221, 12.418559",1955,1950-1959
NHM Denmark,1,"3011955-04-0455.841521, 12.475433",1955,1950-1959
NHM Denmark,1,"3011955-04-0755.841521, 12.475433",1955,1950-1959
NHM Denmark,2,"3381955-08-1055.709599, 9.623134",1955,1950-1959
NHM Denmark,1,"481955-07-2357.132243, 10.022347",1955,1950-1959
NHM Denmark,3,"5091955-08-0155.123283, 10.911265",1955,1950-1959
NHM Denmark,1,"5091955-08-0155.157046, 10.936044",1955,1950-1959
NHM Denmark,1,"521955-07-0457.071947, 8.57373",1955,1950-1959
NHM Denmark,2,"521955-07-0557.071947, 8.57373",1955,1950-1959
NHM Denmark,1,"521955-07-0657.071947, 8.57373",1955,1950-1959
NHM Denmark,1,"5621955-08-0154.987086, 10.841311",1955,1950-1959
NHM Denmark,1,"5621955-08-0154.997947, 10.848061",1955,1950-1959
NHM Denmark,1,"5881955-08-0454.892624, 10.309743",1955,1950-1959
NHM Denmark,1,"5911955-08-0354.879128, 10.742198",1955,1950-1959
NHM Denmark,1,"5911955-08-0354.898616, 10.809579",1955,1950-1959
NHM Denmark,1,"6091955-07-2854.826497, 10.632823",1955,1950-1959
NHM Denmark,2,"6091955-07-3054.826497, 10.632823",1955,1950-1959
NHM Denmark,1,"6091955-07-3154.826497, 10.632823",1955,1950-1959
NHM Denmark,3,"6091955-08-0754.826497, 10.632823",1955,1950-1959
NHM Denmark,1,"6091955-08-0854.826497, 10.632823",1955,1950-1959
NHM Denmark,1,"651955-06-2756.936522, 8.595603",1955,1950-1959
NHM Denmark,1,"651955-06-2756.993928, 8.535257",1955,1950-1959
NHM Aarhus,1,"1281956-09-0556.627967, 9.348258",1956,1950-1959
NHM Aarhus,1,"1421956-09-0656.495153, 9.275461",1956,1950-1959
NHM Aarhus,1,"1431956-09-0556.51758, 9.417065",1956,1950-1959
NHM Aarhus,2,"1581956-09-0356.415638, 8.93809",1956,1950-1959
NHM Aarhus,1,"1601956-09-0656.433652, 9.296676",1956,1950-1959
NHM Aarhus,1,"1601956-09-0656.482229, 9.303773",1956,1950-1959
NHM Aarhus,2,"3091956-09-2955.770484, 9.243306",1956,1950-1959
NHM Aarhus,1,"3611956-10-0955.645707, 8.652733",1956,1950-1959
NHM Aarhus,1,"3621956-10-0955.601951, 8.800045",1956,1950-1959
NHM Aarhus,1,"3641956-09-2955.587892, 9.048768",1956,1950-1959
NHM Aarhus,1,"3911956-10-0155.520518, 8.781134",1956,1950-1959
NHM Aarhus,1,"3931956-09-2955.516834, 9.025481",1956,1950-1959
NHM Aarhus,1,"4171956-10-0155.472822, 8.799455",1956,1950-1959
NHM Aarhus,1,"4171956-10-0355.434956, 8.720728",1956,1950-1959
NHM Aarhus,1,"4171956-10-0955.472822, 8.799455",1956,1950-1959
NHM Aarhus,1,"4191956-09-2755.417533, 9.063237",1956,1950-1959
NHM Aarhus,1,"4191956-09-2755.420557, 9.100062",1956,1950-1959
NHM Aarhus,1,"4191956-09-2755.420725, 9.151225",1956,1950-1959
NHM Aarhus,1,"4431956-09-3055.332384, 8.881601",1956,1950-1959
NHM Aarhus,1,"4441956-10-0355.329091, 9.014988",1956,1950-1959
NHM Aarhus,1,"4691956-09-1855.258225, 8.903934",1956,1950-1959
NHM Aarhus,1,"4691956-09-1955.248434, 8.928662",1956,1950-1959
NHM Aarhus,1,"4691956-09-2455.258225, 8.903934",1956,1950-1959
NHM Aarhus,1,"4951956-09-1655.156415, 8.768423",1956,1950-1959
NHM Aarhus,1,"4951956-09-2455.187624, 8.830714",1956,1950-1959
NHM Aarhus,1,"4961956-09-1855.154144, 8.958149",1956,1950-1959
NHM Aarhus,1,"4961956-09-1855.202502, 8.952534",1956,1950-1959
NHM Aarhus,2,"4961956-09-1955.202502, 8.952534",1956,1950-1959
NHM Aarhus,2,"4971956-09-1855.143833, 9.108465",1956,1950-1959
NHM Aarhus,2,"4981956-09-2055.198328, 9.208027",1956,1950-1959
NHM Aarhus,1,"4981956-09-2055.219753, 9.163647",1956,1950-1959
NHM Aarhus,3,"5231956-09-1855.118843, 8.808176",1956,1950-1959
NHM Aarhus,2,"5241956-09-1555.087993, 8.92152",1956,1950-1959
NHM Aarhus,1,"5241956-09-1555.113856, 8.954107",1956,1950-1959
NHM Aarhus,1,"5241956-09-1555.115005, 8.877476",1956,1950-1959
NHM Aarhus,1,"5251956-09-2055.132078, 9.027614",1956,1950-1959
NHM Aarhus,1,"5501956-09-1455.015188, 8.971605",1956,1950-1959
NHM Aarhus,1,"5501956-09-1554.979027, 8.868625",1956,1950-1959
NHM Aarhus,1,"5801956-09-0954.90233, 9.151075",1956,1950-1959
NHM Aarhus,1,"5801956-09-0954.917062, 9.070387",1956,1950-1959
NHM Aarhus,2,"5801956-09-1054.917062, 9.070387",1956,1950-1959
NHM Aarhus,2,"6021956-09-0954.845898, 9.363879",1956,1950-1959
NHM Denmark,1,"1161956-08-0356.721494, 10.112889",1956,1950-1959
NHM Denmark,2,"1161956-08-0656.721494, 10.112889",1956,1950-1959
NHM Denmark,1,"2241956-08-3156.198379, 10.557544",1956,1950-1959
NHM Denmark,1,"2241956-09-0156.198379, 10.557544",1956,1950-1959
NHM Denmark,6,"2241956-09-0256.198379, 10.557544",1956,1950-1959
NHM Denmark,6,"2241956-09-0356.198379, 10.557544",1956,1950-1959
NHM Denmark,1,"2741956-09-0955.956869, 12.380639",1956,1950-1959
NHM Denmark,2,"2741956-09-2355.956869, 12.380639",1956,1950-1959
NHM Denmark,1,"3011956-04-1955.841521, 12.475433",1956,1950-1959
NHM Denmark,1,"481956-07-2357.132243, 10.022347",1956,1950-1959
NHM Denmark,1,"521956-07-1757.071947, 8.57373",1956,1950-1959
NHM Denmark,2,"601956-08-0457.091255, 9.926595",1956,1950-1959
NHM Aarhus,1,"1401957-10-0956.505657, 8.904524",1957,1950-1959
NHM Aarhus,2,"1581957-02-0356.456179, 8.87043",1957,1950-1959
NHM Aarhus,1,"1581957-09-0956.436493, 8.856629",1957,1950-1959
NHM Aarhus,1,"1581957-09-0956.456179, 8.87043",1957,1950-1959
NHM Aarhus,1,"1581957-10-0956.456179, 8.87043",1957,1950-1959
NHM Aarhus,2,"1591957-09-0456.436124, 9.130886",1957,1950-1959
NHM Aarhus,3,"1591957-09-0856.402726, 9.003202",1957,1950-1959
NHM Aarhus,1,"1601957-09-0456.403203, 9.295687",1957,1950-1959
NHM Aarhus,1,"1741957-10-1256.366803, 8.427153",1957,1950-1959
NHM Aarhus,1,"1761957-10-0856.321236, 8.706911",1957,1950-1959
NHM Aarhus,1,"1771957-09-0856.342192, 8.993918",1957,1950-1959
NHM Aarhus,3,"1781957-09-0856.344846, 9.112072",1957,1950-1959
NHM Aarhus,2,"1841957-09-1056.37922, 9.988393",1957,1950-1959
NHM Aarhus,1,"2311957-09-2556.112693, 8.422994",1957,1950-1959
NHM Aarhus,4,"2321957-08-2156.090005, 8.626754",1957,1950-1959
NHM Aarhus,2,"2331957-09-2156.035662, 8.715441",1957,1950-1959
NHM Aarhus,2,"2551957-09-2455.978326, 8.898121",1957,1950-1959
NHM Aarhus,1,"2781957-09-2255.903328, 8.443813",1957,1950-1959
NHM Aarhus,2,"2791957-09-2455.909114, 8.616017",1957,1950-1959
NHM Aarhus,1,"2801957-09-2455.873122, 8.74456",1957,1950-1959
NHM Aarhus,2,"3291957-09-2655.690896, 8.177124",1957,1950-1959
NHM Aarhus,1,"3321957-09-2955.723391, 8.532052",1957,1950-1959
NHM Aarhus,1,"3321957-09-2955.735406, 8.541223",1957,1950-1959
NHM Aarhus,1,"3611957-09-3055.624383, 8.598822",1957,1950-1959
NHM Aarhus,1,"3611957-10-0155.607024, 8.543999",1957,1950-1959
NHM Aarhus,1,"3901957-10-0155.537773, 8.638025",1957,1950-1959
NHM Aarhus,2,"851957-09-0456.865797, 9.589443",1957,1950-1959
NHM Denmark,1,"1001957-06-3056.83308, 9.848962",1957,1950-1959
NHM Denmark,2,"1001957-07-3056.831439, 9.836076",1957,1950-1959
NHM Denmark,2,"1001957-07-3056.83308, 9.848962",1957,1950-1959
NHM Denmark,1,"1161957-07-2456.721494, 10.112889",1957,1950-1959
NHM Denmark,2,"1161957-07-2556.721494, 10.112889",1957,1950-1959
NHM Denmark,1,"1161957-07-2956.721494, 10.112889",1957,1950-1959
NHM Denmark,1,"1161957-07-2956.726462, 10.054501",1957,1950-1959
NHM Denmark,1,"1161957-08-0856.721494, 10.112889",1957,1950-1959
NHM Denmark,1,"1361957-07-3156.544309, 8.302484",1957,1950-1959
NHM Denmark,1,"1361957-08-0156.483061, 8.320179",1957,1950-1959
NHM Denmark,3,"1361957-08-0156.544309, 8.302484",1957,1950-1959
NHM Denmark,1,"1361957-08-0256.544309, 8.302484",1957,1950-1959
NHM Denmark,5,"1381957-08-0456.551625, 8.627005",1957,1950-1959
NHM Denmark,1,"1531957-08-0256.405363, 8.120253",1957,1950-1959
NHM Denmark,1,"1921957-08-0256.255196, 8.505659",1957,1950-1959
NHM Denmark,2,"1921957-08-0256.263724, 8.509504",1957,1950-1959
NHM Denmark,1,"2051957-08-2956.23145, 10.523758",1957,1950-1959
NHM Denmark,1,"2651957-07-0855.946236, 10.566585",1957,1950-1959
NHM Denmark,1,"2651957-07-1255.964926, 10.569849",1957,1950-1959
NHM Denmark,1,"2651957-07-1355.936629, 10.586483",1957,1950-1959
NHM Denmark,1,"2651957-07-1455.943397, 10.58502",1957,1950-1959
NHM Denmark,1,"2651957-07-2055.936629, 10.586483",1957,1950-1959
NHM Denmark,1,"2651957-07-2155.936538, 10.582714",1957,1950-1959
NHM Denmark,1,"2901957-07-0455.87075, 10.588577",1957,1950-1959
NHM Denmark,1,"2901957-07-0455.930034, 10.59107",1957,1950-1959
NHM Denmark,1,"2901957-07-0555.930034, 10.59107",1957,1950-1959
NHM Denmark,1,"2901957-07-1155.930034, 10.59107",1957,1950-1959
NHM Denmark,1,"2911957-07-0455.906047, 10.601963",1957,1950-1959
NHM Denmark,1,"2911957-07-1055.900466, 10.603336",1957,1950-1959
NHM Denmark,1,"2911957-07-1055.906047, 10.601963",1957,1950-1959
NHM Denmark,1,"3031957-07-3155.778936, 8.291037",1957,1950-1959
NHM Denmark,1,"3171957-07-0555.83247, 10.592147",1957,1950-1959
NHM Denmark,1,"3171957-07-1555.769872, 10.551086",1957,1950-1959
NHM Denmark,1,"3361957-08-0355.694221, 9.247585",1957,1950-1959
NHM Denmark,1,"4321957-01-1555.403689, 11.355263",1957,1950-1959
NHM Denmark,1,"481957-07-2357.132243, 10.022347",1957,1950-1959
NHM Aarhus,3,"2691958-09-0755.954597, 11.586566",1958,1950-1959
NHM Aarhus,1,"2701958-09-0455.9633349, 11.74624",1958,1950-1959
NHM Aarhus,1,"3211958-09-0255.803419, 11.442043",1958,1950-1959
NHM Aarhus,1,"3221958-09-0555.739046, 11.704669",1958,1950-1959
NHM Aarhus,1,"3231958-09-0355.819061, 11.721421",1958,1950-1959
NHM Aarhus,1,"4351958-09-2255.383919, 11.695883",1958,1950-1959
NHM Aarhus,2,"4841958-09-1255.208112, 11.482878",1958,1950-1959
NHM Aarhus,1,"5131958-09-2355.177017, 11.646347",1958,1950-1959
NHM Denmark,7,"1001958-08-0656.76762, 9.98081",1958,1950-1959
NHM Denmark,1,"1001958-08-0656.794637, 9.922338",1958,1950-1959
NHM Denmark,1,"1161958-08-0256.721494, 10.112889",1958,1950-1959
NHM Denmark,2,"1161958-08-0356.721494, 10.112889",1958,1950-1959
NHM Denmark,1,"1361958-08-0156.544309, 8.302484",1958,1950-1959
NHM Denmark,1,"2241958-08-2756.198379, 10.557544",1958,1950-1959
NHM Denmark,1,"2241958-08-2956.198379, 10.557544",1958,1950-1959
NHM Denmark,1,"2451958-06-2956.033807, 12.054928",1958,1950-1959
NHM Denmark,1,"2641958-07-0455.949036, 10.433325",1958,1950-1959
NHM Denmark,1,"2651958-07-0455.946236, 10.566585",1958,1950-1959
NHM Denmark,1,"2651958-07-0855.946236, 10.566585",1958,1950-1959
NHM Denmark,1,"2651958-07-0955.946236, 10.566585",1958,1950-1959
NHM Denmark,2,"2651958-07-1056.001588, 10.561915",1958,1950-1959
NHM Denmark,1,"2651958-07-1155.946236, 10.566585",1958,1950-1959
NHM Denmark,1,"2651958-07-1255.946236, 10.566585",1958,1950-1959
NHM Denmark,1,"2651958-07-1255.94957, 10.57559",1958,1950-1959
NHM Denmark,1,"2651958-07-1355.946236, 10.566585",1958,1950-1959
NHM Denmark,3,"2651958-07-1555.946236, 10.566585",1958,1950-1959
NHM Denmark,1,"2901958-07-0955.87075, 10.588577",1958,1950-1959
NHM Denmark,1,"2901958-07-0955.930034, 10.59107",1958,1950-1959
NHM Denmark,2,"2911958-07-2455.900466, 10.603336",1958,1950-1959
NHM Denmark,1,"2911958-07-2955.900466, 10.603336",1958,1950-1959
NHM Denmark,1,"3011958-04-2755.841521, 12.475433",1958,1950-1959
NHM Denmark,3,"3171958-07-1855.828099, 10.536037",1958,1950-1959
NHM Denmark,2,"3171958-07-2055.782677, 10.585504",1958,1950-1959
NHM Denmark,1,"3171958-07-2255.782677, 10.585504",1958,1950-1959
NHM Denmark,1,"3171958-07-2355.782677, 10.585504",1958,1950-1959
NHM Denmark,1,"3171958-07-2555.782677, 10.585504",1958,1950-1959
NHM Denmark,1,"3171958-07-2755.769872, 10.551086",1958,1950-1959
NHM Denmark,2,"3171958-07-2755.782677, 10.585504",1958,1950-1959
NHM Denmark,1,"3181958-07-1855.794945, 10.596427",1958,1950-1959
NHM Denmark,1,"3181958-07-2055.794945, 10.596427",1958,1950-1959
NHM Denmark,1,"3181958-07-2255.794945, 10.596427",1958,1950-1959
NHM Denmark,1,"3181958-07-2355.794945, 10.596427",1958,1950-1959
NHM Denmark,4,"3181958-07-2555.794945, 10.596427",1958,1950-1959
NHM Denmark,1,"3181958-07-2755.766512, 10.600581",1958,1950-1959
NHM Denmark,2,"3181958-07-2755.794945, 10.596427",1958,1950-1959
NHM Denmark,1,"3181958-07-2855.794945, 10.596427",1958,1950-1959
NHM Denmark,1,"3201958-06-2255.812838, 11.390453",1958,1950-1959
NHM Denmark,4,"3211958-06-2255.814955, 11.410492",1958,1950-1959
NHM Denmark,1,"3551958-08-1055.681191, 12.566437",1958,1950-1959
NHM Denmark,2,"3551958-08-1355.710741, 12.513789",1958,1950-1959
NHM Denmark,1,"3551958-11-1655.686817, 12.573934",1958,1950-1959
NHM Denmark,1,"3551958-11-2855.686817, 12.573934",1958,1950-1959
NHM Denmark,1,"3551958-12-0455.686817, 12.573934",1958,1950-1959
NHM Denmark,1,"1101959-08-2556.702243, 9.066579",1959,1950-1959
NHM Denmark,1,"1481959-07-1356.520881, 10.206879",1959,1950-1959
NHM Denmark,1,"1801959-05-2056.380859, 9.355854",1959,1950-1959
NHM Denmark,1,"2051959-08-0356.22624, 10.57471",1959,1950-1959
NHM Denmark,1,"2051959-08-0456.22624, 10.57471",1959,1950-1959
NHM Denmark,2,"2051959-08-0556.22624, 10.57471",1959,1950-1959
NHM Denmark,1,"2451959-08-1056.032647, 12.05187",1959,1950-1959
NHM Denmark,3,"2451959-08-1056.033807, 12.054928",1959,1950-1959
NHM Denmark,2,"2451959-08-1056.047078, 12.078207",1959,1950-1959
NHM Denmark,7,"2451959-08-1156.033807, 12.054928",1959,1950-1959
NHM Denmark,6,"2451959-08-3056.033807, 12.054928",1959,1950-1959
NHM Denmark,2,"2451959-09-0656.033807, 12.054928",1959,1950-1959
NHM Denmark,1,"2651959-07-0755.936538, 10.582714",1959,1950-1959
NHM Denmark,1,"2651959-07-0755.946236, 10.566585",1959,1950-1959
NHM Denmark,1,"2651959-07-1355.946236, 10.566585",1959,1950-1959
NHM Denmark,1,"2651959-07-1355.94957, 10.57559",1959,1950-1959
NHM Denmark,1,"2651959-07-1455.936538, 10.582714",1959,1950-1959
NHM Denmark,1,"2651959-07-1455.943397, 10.58502",1959,1950-1959
NHM Denmark,3,"2651959-07-1755.946236, 10.566585",1959,1950-1959
NHM Denmark,1,"2651959-07-1855.946236, 10.566585",1959,1950-1959
NHM Denmark,1,"2651959-07-1955.946236, 10.566585",1959,1950-1959
NHM Denmark,3,"2651959-07-2355.946236, 10.566585",1959,1950-1959
NHM Denmark,2,"2651959-07-2455.946236, 10.566585",1959,1950-1959
NHM Denmark,1,"2651959-07-2655.946236, 10.566585",1959,1950-1959
NHM Denmark,2,"2651959-07-2755.946236, 10.566585",1959,1950-1959
NHM Denmark,1,"2901959-07-0655.930034, 10.59107",1959,1950-1959
NHM Denmark,1,"2901959-07-0955.930034, 10.59107",1959,1950-1959
NHM Denmark,1,"2901959-07-1255.87075, 10.585577",1959,1950-1959
NHM Denmark,1,"2901959-07-2355.87075, 10.588577",1959,1950-1959
NHM Denmark,1,"2901959-07-2655.930034, 10.59107",1959,1950-1959
NHM Denmark,1,"2911959-07-0855.918115, 10.634072",1959,1950-1959
NHM Denmark,2,"2911959-07-2255.900466, 10.603336",1959,1950-1959
NHM Denmark,2,"3361959-08-0355.694221, 9.247585",1959,1950-1959
NHM Denmark,1,"3411959-06-2855.708794, 9.998781",1959,1950-1959
NHM Denmark,1,"3551959-01-1955.686817, 12.573934",1959,1950-1959
NHM Denmark,1,"3551959-02-0955.686817, 12.573934",1959,1950-1959
NHM Denmark,1,"3551959-09-0555.686119, 12.589266",1959,1950-1959
NHM Denmark,5,"3631959-08-0355.588164, 8.904213",1959,1950-1959
NHM Denmark,2,"3651959-08-0255.617571, 9.312292",1959,1950-1959
NHM Denmark,1,"3961959-08-0155.510423, 9.547712",1959,1950-1959
NHM Denmark,1,"3961959-08-0155.52216, 9.574604",1959,1950-1959
NHM Denmark,1,"4931959-08-0455.138767, 8.51383",1959,1950-1959
NHM Denmark,1,"4931959-08-1555.138767, 8.51383",1959,1950-1959
NHM Denmark,3,"4931959-09-1555.138767, 8.51383",1959,1950-1959
NHM Denmark,3,"4931959-09-1755.138767, 8.51383",1959,1950-1959
NHM Denmark,1,"4931959-09-1855.138767, 8.51383",1959,1950-1959
NHM Denmark,2,"4931959-09-2055.138767, 8.51383",1959,1950-1959
NHM Denmark,1,"5691959-05-1055.008908, 11.909372",1959,1950-1959
NHM Aarhus,1,"2451960-04-3056.060354, 12.090172",1960,1960-1969
C. Skøtt,1,"3481960-07-0555.652901, 11.408099",1960,1960-1969
C. Skøtt,1,"3481960-07-0955.652413, 11.408115",1960,1960-1969
C. Skøtt,1,"3481960-07-0955.652901, 11.408099",1960,1960-1969
C. Skøtt,1,"3771960-07-0555.649597, 11.405399",1960,1960-1969
NHM Denmark,2,"1111960-08-0456.702452, 9.203645",1960,1960-1969
NHM Denmark,1,"1161960-08-0756.721494, 10.112889",1960,1960-1969
NHM Denmark,1,"1771960-08-0156.304901, 8.848964",1960,1960-1969
NHM Denmark,7,"2451960-07-2256.033807, 12.054928",1960,1960-1969
NHM Denmark,1,"2911960-07-2655.900466, 10.603336",1960,1960-1969
NHM Denmark,1,"3011960-06-0555.841521, 12.475433",1960,1960-1969
NHM Denmark,1,"3011960-09-1855.841521, 12.475433",1960,1960-1969
NHM Denmark,1,"3281960-09-1155.826747, 12.561746",1960,1960-1969
NHM Denmark,2,"3281960-09-2555.786534, 12.569818",1960,1960-1969
NHM Denmark,1,"3281960-10-0255.786534, 12.569818",1960,1960-1969
NHM Denmark,1,"3551960-08-1555.686119, 12.589266",1960,1960-1969
NHM Denmark,1,"3551960-08-1655.711031, 12.565246",1960,1960-1969
NHM Denmark,1,"421960-08-0357.156067, 9.024215",1960,1960-1969
NHM Denmark,1,"441960-08-0157.129601, 9.414915",1960,1960-1969
NHM Denmark,2,"511960-06-1257.040027, 8.493257",1960,1960-1969
NHM Denmark,1,"521960-06-0857.044008, 8.60408",1960,1960-1969
NHM Denmark,2,"521960-06-0857.071947, 8.57373",1960,1960-1969
NHM Denmark,3,"521960-06-0957.054008, 8.650841",1960,1960-1969
NHM Denmark,1,"521960-06-1057.071947, 8.57373",1960,1960-1969
NHM Denmark,1,"531960-06-1057.077202, 8.681382",1960,1960-1969
NHM Denmark,1,"571960-10-0157.082482, 9.405709",1960,1960-1969
NHM Denmark,3,"5821960-08-2554.882509, 9.352142",1960,1960-1969
NHM Denmark,1,"5831960-08-2854.894036, 9.559367",1960,1960-1969
NHM Denmark,1,"691960-07-3156.963137, 9.257096",1960,1960-1969
NHM Denmark,2,"691960-08-0156.963137, 9.257096",1960,1960-1969
NHM Denmark,1,"831960-08-0256.925461, 9.327874",1960,1960-1969
C. Skøtt,1,"191961-07-0657.442711, 10.521006",1961,1960-1969
C. Skøtt,1,"5041961-05-2355.132979, 10.241947",1961,1960-1969
C. Skøtt,1,"5691961-04-0254.99771, 11.890182",1961,1960-1969
NHM Denmark,1,"2901961-07-2255.87075, 10.585577",1961,1960-1969
NHM Denmark,2,"3011961-09-0155.841521, 12.475433",1961,1960-1969
NHM Denmark,2,"3171961-08-0955.782677, 10.585504",1961,1960-1969
NHM Denmark,1,"3281961-09-0955.794611, 12.539578",1961,1960-1969
NHM Denmark,1,"3281961-09-1755.826747, 12.561746",1961,1960-1969
